"predictor","group","n_nominal","n_eff_clifford","rho_pred_to_LST","rho_LST_to_pred","p_fwd","p_rev","ci_fwd_lower","ci_fwd_upper","ci_rev_lower","ci_rev_upper","kendall_fwd","kendall_fwd_p","kendall_rev","kendall_rev_p","direction"
"built_density","causal",2000,89.4143123511111,0.492740439963512,0.205095394185078,0,0,0.458818740943208,0.525227882619104,0.162727302273733,0.246708534923698,1,4.17535139796144e-09,1,4.17535139796144e-09,"built_density -> LST"
"green_density","causal",2000,453.809918393044,0.341119014734877,0.16435243535604,0,1.40554234917545e-13,0.301800471323917,0.379279130964388,0.121396005611679,0.206694399311083,1,4.17535139796144e-09,1,4.17535139796144e-09,"green_density -> LST"
"distance_to_water","causal",2000,53.6393197401312,0.400986528661172,0.447773629009384,0,0,0.363545124630154,0.437134553333562,0.412029322193082,0.482141883162288,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"distance_to_roads","causal",2000,567.23398051302,0.251762908199792,0.183900561812063,0,0,0.210252108218184,0.292367563876044,0.141207839641305,0.225910535099246,0.93939393939394,3.2150205764303e-07,1,4.17535139796144e-09,"both significant"
"DEM","causal",2000,123.801662977872,0.43763942780284,0.44869278521773,0,0,0.401510324129245,0.472408551450669,0.412983850367966,0.483024261686133,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"NDBI","associative",2000,94.771568528492,0.72504920418672,0.728676920133445,0,0,0.703577676596308,0.74519805355998,0.707440643447609,0.748598667601619,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"BSI","associative",2000,158.797760223067,0.714548425592467,0.722273202915187,0,0,0.692403089591025,0.735348733075057,0.700622513420377,0.742595127258163,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"NDVI","associative",2000,661.59252604112,0.508801522796752,0.497843087951953,0,0,0.475576539202401,0.540576917022462,0.464140122984152,0.53010660318057,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
